time,x,y,rho,mu,mv,mw
8400 , -9.96094 , -9.96094 , 2.84833e-22 , 5.43004e-23 , -5.43004e-23 , 0
8400 , -9.96094 , -9.88281 , 4.19674e-22 , 2.94425e-23 , -2.96753e-23 , 0
8400 , -9.96094 , -9.80469 , 6.16463e-22 , -3.14311e-23 , 3.1932e-23 , 0
8400 , -9.96094 , -9.72656 , 9.02771e-22 , -1.52719e-22 , 1.56399e-22 , 0
8400 , -9.96094 , -9.64844 , 1.31802e-21 , -3.70307e-22 , 3.82301e-22 , 0
8400 , -9.96094 , -9.57031 , 1.91841e-21 , -7.35152e-22 , 7.65158e-22 , 0
8400 , -9.96094 , -9.49219 , 2.78379e-21 , -1.31714e-21 , 1.38219e-21 , 0
8400 , -9.96094 , -9.41406 , 4.02721e-21 , -2.20868e-21 , 2.33699e-21 , 0
8400 , -9.96094 , -9.33594 , 5.80829e-21 , -3.52705e-21 , 3.76317e-21 , 0
8400 , -9.96094 , -9.25781 , 8.35153e-21 , -5.41388e-21 , 5.82506e-21 , 0
8400 , -9.96094 , -9.17969 , 1.19718e-20 , -8.02945e-21 , 8.71281e-21 , 0
8400 , -9.96094 , -9.10156 , 1.71091e-20 , -1.1538e-20 , 1.26274e-20 , 0
8400 , -9.96094 , -9.02344 , 2.43763e-20 , -1.60789e-20 , 1.77494e-20 , 0
8400 , -9.96094 , -8.94531 , 3.46246e-20 , -2.17177e-20 , 2.41834e-20 , 0
8400 , -9.96094 , -8.86719 , 4.90316e-20 , -2.83663e-20 , 3.18652e-20 , 0
8400 , -9.96094 , -8.78906 , 6.92216e-20 , -3.56634e-20 , 4.04185e-20 , 0
8400 , -9.96094 , -8.71094 , 9.74276e-20 , -4.27999e-20 , 4.89416e-20 , 0
8400 , -9.96094 , -8.63281 , 1.36709e-19 , -4.82751e-20 , 5.5702e-20 , 0
8400 , -9.96094 , -8.55469 , 1.91244e-19 , -4.95675e-20 , 5.77156e-20 , 0
8400 , -9.96094 , -8.47656 , 2.66717e-19 , -4.27054e-20 , 5.01838e-20 , 0
8400 , -9.96094 , -8.39844 , 3.70843e-19 , -2.1725e-20 , 2.57669e-20 , 0
8400 , -9.96094 , -8.32031 , 5.14049e-19 , 2.19865e-20 , -2.63219e-20 , 0
8400 , -9.96094 , -8.24219 , 7.10383e-19 , 1.00453e-19 , -1.21401e-19 , 0
8400 , -9.96094 , -8.16406 , 9.78713e-19 , 2.29948e-19 , -2.80558e-19 , 0
8400 , -9.96094 , -8.08594 , 1.34429e-18 , 4.31836e-19 , -5.31972e-19 , 0
8400 , -9.96094 , -8.00781 , 1.84079e-18 , 7.3333e-19 , -9.1219e-19 , 0
8400 , -9.96094 , -7.92969 , 2.513e-18 , 1.16797e-18 , -1.46716e-18 , 0
8400 , -9.96094 , -7.85156 , 3.42022e-18 , 1.77564e-18 , -2.25268e-18 , 0
8400 , -9.96094 , -7.77344 , 4.64077e-18 , 2.60166e-18 , -3.33379e-18 , 0
8400 , -9.96094 , -7.69531 , 6.2777e-18 , 3.69475e-18 , -4.78255e-18 , 0
8400 , -9.96094 , -7.61719 , 8.46615e-18 , 5.103e-18 , -6.67315e-18 , 0
8400 , -9.96094 , -7.53906 , 1.13827e-17 , 6.86743e-18 , -9.07354e-18 , 0
8400 , -9.96094 , -7.46094 , 1.52574e-17 , 9.01213e-18 , -1.20319e-17 , 0
8400 , -9.96094 , -7.38281 , 2.03887e-17 , 1.15302e-17 , -1.55566e-17 , 0
8400 , -9.96094 , -7.30469 , 2.71628e-17 , 1.43641e-17 , -1.95874e-17 , 0
8400 , -9.96094 , -7.22656 , 3.60772e-17 , 1.73802e-17 , -2.39564e-17 , 0
8400 , -9.96094 , -7.14844 , 4.77712e-17 , 2.03351e-17 , -2.83358e-17 , 0
8400 , -9.96094 , -7.07031 , 6.30629e-17 , 2.28348e-17 , -3.21706e-17 , 0
8400 , -9.96094 , -6.99219 , 8.29959e-17 , 2.42842e-17 , -3.45949e-17 , 0
8400 , -9.96094 , -6.91406 , 1.08896e-16 , 2.38287e-17 , -3.43295e-17 , 0
8400 , -9.96094 , -6.83594 , 1.42444e-16 , 2.02874e-17 , -2.95616e-17 , 0
8400 , -9.96094 , -6.75781 , 1.8576e-16 , 1.20809e-17 , -1.78071e-17 , 0
8400 , -9.96094 , -6.67969 , 2.41509e-16 , -2.84413e-18 , 4.24125e-18 , 0
8400 , -9.96094 , -6.60156 , 3.13032e-16 , -2.7088e-17 , 4.08725e-17 , 0
8400 , -9.96094 , -6.52344 , 4.04501e-16 , -6.38628e-17 , 9.75151e-17 , 0
8400 , -9.96094 , -6.44531 , 5.21104e-16 , -1.17038e-16 , 1.80878e-16 , 0
8400 , -9.96094 , -6.36719 , 6.69274e-16 , -1.91161e-16 , 2.99055e-16 , 0
8400 , -9.96094 , -6.28906 , 8.56955e-16 , -2.91426e-16 , 4.61575e-16 , 0
8400 , -9.96094 , -6.21094 , 1.09392e-15 , -4.23595e-16 , 6.79351e-16 , 0
8400 , -9.96094 , -6.13281 , 1.39217e-15 , -5.93835e-16 , 9.64509e-16 , 0
8400 , -9.96094 , -6.05469 , 1.76632e-15 , -8.08458e-16 , 1.33004e-15 , 0
8400 , -9.96094 , -5.97656 , 2.2342e-15 , -1.07355e-15 , 1.78925e-15 , 0
8400 , -9.96094 , -5.89844 , 2.8174e-15 , -1.39444e-15 , 2.35485e-15 , 0
8400 , -9.96094 , -5.82031 , 3.54202e-15 , -1.77507e-15 , 3.03787e-15 , 0
8400 , -9.96094 , -5.74219 , 4.43944e-15 , -2.21711e-15 , 3.84601e-15 , 0
8400 , -9.96094 , -5.66406 , 5.54727e-15 , -2.71898e-15 , 4.78166e-15 , 0
8400 , -9.96094 , -5.58594 , 6.91044e-15 , -3.27463e-15 , 5.83937e-15 , 0
8400 , -9.96094 , -5.50781 , 8.58235e-15 , -3.87216e-15 , 7.00284e-15 , 0
8400 , -9.96094 , -5.42969 , 1.06263e-14 , -4.49232e-15 , 8.2413e-15 , 0
8400 , -9.96094 , -5.35156 , 1.31169e-14 , -5.10685e-15 , 9.50545e-15 , 0
8400 , -9.96094 , -5.27344 , 1.6142e-14 , -5.67679e-15 , 1.07228e-14 , 0
