x,y,rho,u,v,w
-9.96094 , -9.96094 , 2.84833e-22 , 1 , 0 , 0
-9.96094 , -9.88281 , 4.19674e-22 , 1 , 0 , 0
-9.96094 , -9.80469 , 6.16463e-22 , 1 , 0 , 0
-9.96094 , -9.72656 , 9.02771e-22 , 1 , 0 , 0
-9.96094 , -9.64844 , 1.31802e-21 , 1 , 0 , 0
-9.96094 , -9.57031 , 1.91841e-21 , 1 , 0 , 0
-9.96094 , -9.49219 , 2.78379e-21 , 1 , 0 , 0
-9.96094 , -9.41406 , 4.02721e-21 , 1 , 0 , 0
-9.96094 , -9.33594 , 5.80829e-21 , 1 , 0 , 0
-9.96094 , -9.25781 , 8.35153e-21 , 1 , 0 , 0
-9.96094 , -9.17969 , 1.19718e-20 , 1 , 0 , 0
-9.96094 , -9.10156 , 1.71091e-20 , 1 , 0 , 0
-9.96094 , -9.02344 , 2.43763e-20 , 1 , 0 , 0
-9.96094 , -8.94531 , 3.46246e-20 , 1 , 0 , 0
-9.96094 , -8.86719 , 4.90316e-20 , 1 , 0 , 0
-9.96094 , -8.78906 , 6.92216e-20 , 1 , 0 , 0
-9.96094 , -8.71094 , 9.74276e-20 , 1 , 0 , 0
-9.96094 , -8.63281 , 1.36709e-19 , 1 , 0 , 0
-9.96094 , -8.55469 , 1.91244e-19 , 1 , 0 , 0
-9.96094 , -8.47656 , 2.66717e-19 , 1 , 0 , 0
-9.96094 , -8.39844 , 3.70843e-19 , 1 , 0 , 0
-9.96094 , -8.32031 , 5.14049e-19 , 1 , 0 , 0
-9.96094 , -8.24219 , 7.10383e-19 , 1 , 0 , 0
-9.96094 , -8.16406 , 9.78713e-19 , 1 , 0 , 0
-9.96094 , -8.08594 , 1.34429e-18 , 1 , 0 , 0
-9.96094 , -8.00781 , 1.84079e-18 , 1 , 0 , 0
-9.96094 , -7.92969 , 2.513e-18 , 1 , 0 , 0
-9.96094 , -7.85156 , 3.42022e-18 , 1 , 0 , 0
-9.96094 , -7.77344 , 4.64077e-18 , 1 , 0 , 0
-9.96094 , -7.69531 , 6.2777e-18 , 1 , 0 , 0
-9.96094 , -7.61719 , 8.46615e-18 , 1 , 0 , 0
-9.96094 , -7.53906 , 1.13827e-17 , 1 , 0 , 0
-9.96094 , -7.46094 , 1.52574e-17 , 1 , 0 , 0
-9.96094 , -7.38281 , 2.03887e-17 , 1 , 0 , 0
-9.96094 , -7.30469 , 2.71628e-17 , 1 , 0 , 0
-9.96094 , -7.22656 , 3.60772e-17 , 1 , 0 , 0
-9.96094 , -7.14844 , 4.77712e-17 , 1 , 0 , 0
-9.96094 , -7.07031 , 6.30629e-17 , 1 , 0 , 0
-9.96094 , -6.99219 , 8.29959e-17 , 1 , 0 , 0
-9.96094 , -6.91406 , 1.08896e-16 , 1 , 0 , 0
-9.96094 , -6.83594 , 1.42444e-16 , 1 , 0 , 0
-9.96094 , -6.75781 , 1.8576e-16 , 1 , 0 , 0
-9.96094 , -6.67969 , 2.41509e-16 , 1 , 0 , 0
-9.96094 , -6.60156 , 3.13032e-16 , 1 , 0 , 0
-9.96094 , -6.52344 , 4.04501e-16 , 1 , 0 , 0
-9.96094 , -6.44531 , 5.21104e-16 , 1 , 0 , 0
-9.96094 , -6.36719 , 6.69274e-16 , 1 , 0 , 0
-9.96094 , -6.28906 , 8.56955e-16 , 1 , 0 , 0
-9.96094 , -6.21094 , 1.09392e-15 , 1 , 0 , 0
-9.96094 , -6.13281 , 1.39217e-15 , 1 , 0 , 0
-9.96094 , -6.05469 , 1.76632e-15 , 1 , 0 , 0
-9.96094 , -5.97656 , 2.2342e-15 , 1 , 0 , 0
-9.96094 , -5.89844 , 2.8174e-15 , 1 , 0 , 0
-9.96094 , -5.82031 , 3.54202e-15 , 1 , 0 , 0
-9.96094 , -5.74219 , 4.43944e-15 , 1 , 0 , 0
-9.96094 , -5.66406 , 5.54727e-15 , 1 , 0 , 0
-9.96094 , -5.58594 , 6.91044e-15 , 1 , 0 , 0
-9.96094 , -5.50781 , 8.58235e-15 , 1 , 0 , 0
-9.96094 , -5.42969 , 1.06263e-14 , 1 , 0 , 0
-9.96094 , -5.35156 , 1.31169e-14 , 1 , 0 , 0
-9.96094 , -5.27344 , 1.6142e-14 , 1 , 0 , 0
-9.96094 , -5.19531 , 1.98041e-14 , 1 , 0 , 0
-9.96094 , -5.11719 , 2.42231e-14 , 1 , 0 , 0
-9.96094 , -5.03906 , 2.95378e-14 , 1 , 0 , 0
-9.96094 , -4.96094 , 3.59088e-14 , 1 , 0 , 0
-9.96094 , -4.88281 , 4.3521e-14 , 1 , 0 , 0
-9.96094 , -4.80469 , 5.25861e-14 , 1 , 0 , 0
-9.96094 , -4.72656 , 6.33458e-14 , 1 , 0 , 0
-9.96094 , -4.64844 , 7.60746e-14 , 1 , 0 , 0
-9.96094 , -4.57031 , 9.10827e-14 , 1 , 0 , 0
-9.96094 , -4.49219 , 1.08719e-13 , 1 , 0 , 0
-9.96094 , -4.41406 , 1.29376e-13 , 1 , 0 , 0
-9.96094 , -4.33594 , 1.53487e-13 , 1 , 0 , 0
-9.96094 , -4.25781 , 1.81538e-13 , 1 , 0 , 0
-9.96094 , -4.17969 , 2.14061e-13 , 1 , 0 , 0
-9.96094 , -4.10156 , 2.51641e-13 , 1 , 0 , 0
-9.96094 , -4.02344 , 2.94917e-13 , 1 , 0 , 0
-9.96094 , -3.94531 , 3.44583e-13 , 1 , 0 , 0
-9.96094 , -3.86719 , 4.01386e-13 , 1 , 0 , 0
-9.96094 , -3.78906 , 4.66127e-13 , 1 , 0 , 0
-9.96094 , -3.71094 , 5.39662e-13 , 1 , 0 , 0
-9.96094 , -3.63281 , 6.22894e-13 , 1 , 0 , 0
-9.96094 , -3.55469 , 7.16771e-13 , 1 , 0 , 0
-9.96094 , -3.47656 , 8.22284e-13 , 1 , 0 , 0
-9.96094 , -3.39844 , 9.40454e-13 , 1 , 0 , 0
-9.96094 , -3.32031 , 1.07233e-12 , 1 , 0 , 0
-9.96094 , -3.24219 , 1.21897e-12 , 1 , 0 , 0
-9.96094 , -3.16406 , 1.38144e-12 , 1 , 0 , 0
-9.96094 , -3.08594 , 1.5608e-12 , 1 , 0 , 0
-9.96094 , -3.00781 , 1.75807e-12 , 1 , 0 , 0
-9.96094 , -2.92969 , 1.97424e-12 , 1 , 0 , 0
-9.96094 , -2.85156 , 2.21024e-12 , 1 , 0 , 0
-9.96094 , -2.77344 , 2.4669e-12 , 1 , 0 , 0
-9.96094 , -2.69531 , 2.74498e-12 , 1 , 0 , 0
-9.96094 , -2.61719 , 3.0451e-12 , 1 , 0 , 0
-9.96094 , -2.53906 , 3.36774e-12 , 1 , 0 , 0
-9.96094 , -2.46094 , 3.71322e-12 , 1 , 0 , 0
-9.96094 , -2.38281 , 4.08166e-12 , 1 , 0 , 0
-9.96094 , -2.30469 , 4.47299e-12 , 1 , 0 , 0
-9.96094 , -2.22656 , 4.88689e-12 , 1 , 0 , 0
-9.96094 , -2.14844 , 5.32284e-12 , 1 , 0 , 0
-9.96094 , -2.07031 , 5.78e-12 , 1 , 0 , 0
-9.96094 , -1.99219 , 6.2573e-12 , 1 , 0 , 0
-9.96094 , -1.91406 , 6.75338e-12 , 1 , 0 , 0
-9.96094 , -1.83594 , 7.26658e-12 , 1 , 0 , 0
-9.96094 , -1.75781 , 7.79495e-12 , 1 , 0 , 0
-9.96094 , -1.67969 , 8.33626e-12 , 1 , 0 , 0
-9.96094 , -1.60156 , 8.888e-12 , 1 , 0 , 0
-9.96094 , -1.52344 , 9.44737e-12 , 1 , 0 , 0
-9.96094 , -1.44531 , 1.00114e-11 , 1 , 0 , 0
-9.96094 , -1.36719 , 1.05767e-11 , 1 , 0 , 0
-9.96094 , -1.28906 , 1.11399e-11 , 1 , 0 , 0
-9.96094 , -1.21094 , 1.16973e-11 , 1 , 0 , 0
-9.96094 , -1.13281 , 1.22452e-11 , 1 , 0 , 0
-9.96094 , -1.05469 , 1.27797e-11 , 1 , 0 , 0
-9.96094 , -0.976562 , 1.32969e-11 , 1 , 0 , 0
-9.96094 , -0.898438 , 1.37929e-11 , 1 , 0 , 0
-9.96094 , -0.820312 , 1.42638e-11 , 1 , 0 , 0
-9.96094 , -0.742188 , 1.47058e-11 , 1 , 0 , 0
-9.96094 , -0.664062 , 1.51153e-11 , 1 , 0 , 0
-9.96094 , -0.585938 , 1.54889e-11 , 1 , 0 , 0
-9.96094 , -0.507812 , 1.58233e-11 , 1 , 0 , 0
-9.96094 , -0.429688 , 1.61157e-11 , 1 , 0 , 0
